May 17 22:31:48 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 613 | Sample Timeout Handler
May 17 22:32:11 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/modemDaemon T=main | le_sim.c SimToolkitHandler() 931 | Update SIM Card information after a refresh
May 17 22:32:12 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c RetrieveSimApplicationType() 1942 | More than one application 2)
May 17 22:32:12 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa_default T=main | pa_sim_default.c pa_sim_GetCardEID() 121 | Unsupported function called
May 17 22:32:18 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:18 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:18 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:32:19 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 647 | Item cellstrength triggered publish
May 17 22:32:19 swi-mdm9x15 user.err Legato: =ERR= | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 679 | Failed to push record - LE_FAULT
May 17 22:32:19 swi-mdm9x15 user.emerg Legato: *EMR* | sensorToCloud[1111]/avPublisher T=main | avPublisher.c sampleTimerHandler() 680 | Assert Failed: 'r' is not LE_OK (0)
May 17 22:32:19 swi-mdm9x15 user.debug Legato:  DBUG | digitalService[1035]/framework T=main | brnkl_digital_server.c CleanupClientData() 148 | Client 0xb6f6f5ec is closed !!!
May 17 22:32:19 swi-mdm9x15 user.debug Legato:  DBUG | gpsMonitor[1060]/framework T=main | brnkl_gps_server.c CleanupClientData() 148 | Client 0xb6ff4cfc is closed !!!
May 17 22:32:19 swi-mdm9x15 user.debug Legato:  DBUG | errorService[1042]/framework T=main | brnkl_error_server.c CleanupClientData() 148 | Client 0xb6ffabdc is closed !!!
May 17 22:32:19 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | proc.c proc_SigChildHandler() 2050 | Process 'sensorToCloud' (PID: 1111) has exited with exit code 1.
May 17 22:32:20 swi-mdm9x15 user.crit Legato: *CRT* | supervisor[759]/supervisor T=main | app.c app_SigChildHandler() 3993 | Process 'sensorToCloud' in app 'sensorToCloud' faulted: Restarting app.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | app.c app_Stop() 3502 | Stopping app 'sensorToCloud'
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _appStopClient[3456]/framework T=main | LE_FILENAME CreateSocket() 550 | Socket opened as standard i/o file descriptor 2!
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | app.c app_StopComplete() 4643 | app 'sensorToCloud' has stopped.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | app.c app_Start() 3377 | Starting app 'sensorToCloud'
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | app.c CreateFileLink() 1991 | Skipping file link '/legato/systems/current/apps/sensorToCloud/read-only/lib/libComponent_avPublisher.so' to '/legato/systems/current/appsWriteable/senso
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | app.c CreateFileLink() 1991 | Skipping file link '/legato/systems/current/apps/sensorToCloud/read-only/lib/libComponent_sensors.so' to '/legato/systems/current/appsWriteable/sensorToC
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | app.c CreateFileLink() 1991 | Skipping file link '/legato/systems/current/apps/sensorToCloud/read-only/lib/libComponent_spiLibrary.so' to '/legato/systems/current/appsWriteable/sensor
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | app.c CreateFileLink() 1991 | Skipping file link '/legato/systems/current/apps/sensorToCloud/read-only/bin/sensorToCloud' to '/legato/systems/current/appsWriteable/sensorToCloud/bin/s
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxCoreDumpFileBytes to value 102400.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxFileBytes to value 102400.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxLockedMemoryBytes to value 8192.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxFileDescriptors to value 256.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxMQueueBytes to value 512.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxThreads to value 20.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | resourceLimits.c SetRLimitValue() 282 | Setting resource limit maxQueuedSignals to value 100.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | proc.c proc_Start() 1389 | Starting process 'sensorToCloud' with pid 3476
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | apps.c RestartApp() 401 | Application 'sensorToCloud' restarted.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[759]/supervisor T=main | supervisor.c SigChildHandler() 784 | Reaping unconfigured child process 3475.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | supervisor[3476]/supervisor T=main | proc.c proc_Start() 1354 | Execing 'sensorToCloud'
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME VerifyUniquenessOfName() 489 | Multiple memory pools share the same name '.le_cfg_ClientData'. This will become illegal in future releases.
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME VerifyUniquenessOfName() 489 | Multiple memory pools share the same name '.le_cfg_ClientThreadData'. This will become illegal in future releases.
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME VerifyUniquenessOfName() 489 | Multiple memory pools share the same name 'framework.hashMap_refle_cfg_Cli'. This will become illegal in future releases.
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'sensorToCloud.avPublisher.le_cfg' truncated to 'sensorToCloud.avPublisher.le_cf'.
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'sensorToCloud.avPublisher.le_avdata' truncated to 'sensorToCloud.avPublisher.le_av'.
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'sensorToCloud.avPublisher.le_mrc' truncated to 'sensorToCloud.avPublisher.le_mr'.
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'sensorToCloud.avPublisher.le_sim' truncated to 'sensorToCloud.avPublisher.le_si'.
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:32:20 swi-mdm9x15 user.debug Legato:  DBUG | digitalService[1035]/framework T=main | LE_FILENAME ExtractFileDescriptor() 34 | Received fd (25).
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'sensorToCloud.avPublisher.brnkl_digital' truncated to 'sensorToCloud.avPublisher.brnkl'.
May 17 22:32:20 swi-mdm9x15 user.debug Legato:  DBUG | gpsMonitor[1060]/framework T=main | LE_FILENAME ExtractFileDescriptor() 34 | Received fd (12).
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'sensorToCloud.avPublisher.brnkl_gps' truncated to 'sensorToCloud.avPublisher.brnkl'.
May 17 22:32:20 swi-mdm9x15 user.debug Legato:  DBUG | errorService[1042]/framework T=main | LE_FILENAME ExtractFileDescriptor() 34 | Received fd (13).
May 17 22:32:20 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[3476]/framework T=main | LE_FILENAME le_fdMonitor_Create() 672 | FD Monitor object name 'sensorToCloud.avPublisher.brnkl_error' truncated to 'sensorToCloud.avPublisher.brnkl'.
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c _avPublisher_COMPONENT_INIT() 1145 | sensorToCloud started
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c updateSensors() 515 | Updating sensorConfig...
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/gps_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/pressure1_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/humidity1_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital1_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital2_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital3_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/digital4_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/bilge1_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/shorepwr1_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/pir1_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/pushbtn1_showOnGrid:-21
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/temp1_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog1_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog2_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog3_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/analog4_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/accelerometer_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c isEnabled() 510 | /digitalService/sensorConfig/cellstrength_showOnGrid:-1
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c updateSensors() 520 | Updating sensorConfig complete
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | sensorToCloud[3476]/avPublisher T=main | avPublisher.c _avPublisher_COMPONENT_INIT() 1159 | AirVantage Connection Controller started.
May 17 22:32:20 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:32:20 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:32:20 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:32:20 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartTechSession() 1570 | Cellular not available for starting a data session
May 17 22:32:22 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:32:22 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:32:22 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:32:22 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:32:22 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartTechSession() 1570 | Cellular not available for starting a data session
May 17 22:32:26 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:32:26 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:32:26 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:32:26 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:32:26 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartTechSession() 1570 | Cellular not available for starting a data session
May 17 22:32:34 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:32:34 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:32:34 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:32:34 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:32:34 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartTechSession() 1570 | Cellular not available for starting a data session
May 17 22:32:50 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:32:50 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:32:50 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:32:50 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:32:50 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartTechSession() 1570 | Cellular not available for starting a data session
May 17 22:33:22 swi-mdm9x15 user.warn Legato: -WRN- | dcsDaemon[1026]/le_pa_dcs T=main | pa_dcs_linux.c pa_dcs_SetDefaultGateway() 568 | Default gateway or interface is empty
May 17 22:33:22 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_NAS_GET_RF_BAND_INFO_REQ_MSG_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=74.[0x4a]
May 17 22:33:22 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3686 | The device is not registered on the network
May 17 22:33:22 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mrc_qmi.c pa_mrc_GetRadioAccessTechInUse() 3689 | Failed to retrieve the RAT
May 17 22:33:23 swi-mdm9x15 user.info Legato:  INFO | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c TryStartTechSession() 1570 | Cellular not available for starting a data session
May 17 22:33:51 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:33:57 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:33:58 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/swiQmi T=main | swiQmi.c swiQmi_CheckResponse() 795 | Sending QMI_WDS_START_NETWORK_INTERFACE_REQ_V01 failed: rc=0 (), resp.result=1.[0x01], resp.error=14.[0x0e]
May 17 22:33:58 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mdc_qmi.c StartSession() 1954 | Data connection failure Call End provided 44, Code 12
May 17 22:33:58 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/le_pa T=main | pa_mdc_qmi.c StartSession() 1965 | Data connection failure Verbose Call End provided Type 2, Verbose 201
May 17 22:33:58 swi-mdm9x15 user.err Legato: =ERR= | modemDaemon[1066]/modemDaemon T=main | le_mdc.c le_mdc_StartSession() 1030 | Get Async Connection failure 44, 12, 2, 201
May 17 22:33:59 swi-mdm9x15 user.warn Legato: -WRN- | _UNKNOWN_[641]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:33:59 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=unknown | pa_mrc_qmi.c ConvertPSState() 770 | PS state unknown
May 17 22:33:59 swi-mdm9x15 user.err Legato: =ERR= | dcsDaemon[1026]/dcsDaemon T=main | dcsServer.c PacketSwitchHandler() 1973 | New PS state unknown PS state 5
May 17 22:33:59 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
May 17 22:34:00 swi-mdm9x15 user.info Legato:  INFO | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c InternalSimToolkitHandler() 1448 | QMI_UIM_REFRESH_COMPLETE_REQ_V01: Err 0 resp 0
May 17 22:34:00 swi-mdm9x15 user.warn Legato: -WRN- | modemDaemon[1066]/le_pa T=main | pa_sim_qmi.c MapSimState() 879 | More than one application 2
